,skootar_id,normal_job,car_night,rbh_night,skt_job,night,full_time,purchasing_service,cheque_collecting,promptpay,pay_lte_100,need_food_box,doc_processing,schedule,level
0,SK7728,447,447,0,447,7,0,1,1,43,82,0,12,114,0.0
1,SK0671,103,103,0,96,0,0,0,2,0,0,0,4,1,0.0
2,SK8812,722,722,5,612,4,3,0,5,0,202,0,15,112,0.0
3,SK4780,819,819,0,683,17,1,3,8,0,87,109,23,95,1.0
4,SK5940,41,41,0,41,1,0,0,0,4,6,0,1,10,0.0
5,SK7597,883,883,0,883,2,0,0,35,63,56,0,122,165,0.0
6,SK7538,273,273,0,273,0,0,0,8,0,7,0,15,8,0.0
7,SK6920,755,755,0,755,0,0,1,6,0,101,0,28,9,0.0
8,SK6981,280,280,0,280,37,0,0,24,0,9,39,10,48,0.0
9,SK3781,1464,1464,0,1464,4,0,0,48,0,346,87,170,297,1.0
10,SK4083,1303,1303,11,1184,2,0,0,45,69,150,97,155,253,1.0
11,SK3592,1075,1075,0,1060,0,0,3,2,0,202,210,12,284,0.0
12,SK7288,1198,1198,0,1157,0,0,6,1,22,324,203,11,304,0.0
13,SK4042,1479,1479,0,1457,0,0,0,20,69,201,60,88,136,1.0
14,SK8394,86,86,0,86,0,0,0,4,5,20,6,7,20,0.0
15,SK8415,461,461,0,439,1,2,4,0,11,64,139,0,215,0.0
16,SK8695,1567,1567,2,1319,6,19,84,8,30,486,350,37,254,1.0
17,SK7348,555,555,0,555,0,0,1,2,0,70,71,9,58,0.0
18,SK5430,1417,1417,10,1214,2,0,0,28,37,56,47,97,110,
19,SK1250,598,598,0,598,0,0,0,0,0,1,0,4,5,0.0
20,SK7264,1651,1651,0,1651,0,0,5,83,0,257,0,293,459,
21,SK3288,73,73,0,73,2,0,0,0,3,3,0,0,6,0.0
22,SK8720,85,85,0,85,1,0,0,6,0,6,0,7,13,0.0
23,SK0639,574,574,20,389,0,0,0,2,9,11,2,14,12,0.0
24,SK4162,236,236,0,236,0,0,0,0,4,14,0,3,7,0.0
25,SK3322,252,252,0,252,0,0,0,0,0,0,0,0,1,0.0
26,SK7364,1200,1200,0,1200,0,0,1,89,124,189,0,245,216,1.0
27,SK7920,1394,1394,257,837,36,36,38,19,10,300,270,62,384,1.0
28,SK6443,814,814,0,765,0,0,1,5,34,52,10,34,31,0.0
29,SK5698,1320,1320,10,1161,2,0,0,30,55,110,33,123,302,0.0
30,SK7811,1658,1658,0,1658,4,0,17,56,46,528,135,191,454,
31,SK7421,722,722,0,722,0,1,1,29,39,47,35,110,99,0.0
32,SK6161,689,689,0,685,0,31,64,6,11,153,98,24,116,0.0
33,SK8776,258,258,0,258,0,1,4,7,0,106,61,18,79,0.0
34,SK6648,491,491,21,320,0,18,3,6,0,80,68,18,68,0.0
35,SK6962,1037,1037,0,1014,1,31,79,57,0,421,165,164,323,
36,SK5362,92,92,0,92,1,7,0,0,8,30,41,5,50,0.0
37,SK1393,784,784,6,482,2,0,0,15,23,29,22,57,34,0.0
38,SK5501,1325,1325,0,1325,0,0,0,57,94,214,0,186,238,1.0
39,SK8738,1473,1473,7,1253,7,0,2,44,41,106,100,121,236,1.0
40,SK7578,232,232,0,232,0,0,0,13,0,76,0,60,58,0.0
41,SK3058,916,916,0,916,1,0,1,29,132,176,0,98,116,0.0
42,SK8739,137,137,0,137,1,0,1,3,0,57,25,11,59,0.0
43,SK0811,368,368,0,368,0,0,0,5,3,2,0,24,25,0.0
44,SK6994,42,42,0,42,0,0,0,1,5,7,0,8,5,0.0
45,SK3837,433,433,0,433,0,0,0,12,7,3,1,10,15,0.0
46,SK2715,449,449,0,449,0,0,0,12,0,1,0,46,21,1.0
47,SK1431,179,179,0,179,0,0,0,9,8,0,0,26,19,0.0
48,SK7610,32,32,0,32,0,0,0,1,3,25,0,6,10,0.0
49,SK3185,390,390,0,390,0,0,0,0,0,170,3,6,25,0.0
50,SK8555,1423,1423,9,1327,14,0,9,13,61,190,201,32,313,1.0
51,SK0705,1416,1416,0,1416,0,0,0,27,17,644,0,125,68,1.0
52,SK7885,459,459,0,459,0,0,1,1,0,115,0,16,52,0.0
53,SK8796,2092,2092,45,1145,3,0,0,5,45,196,18,139,311,0.0
54,SK4573,1196,1196,0,1196,1,0,0,74,150,49,0,210,131,
55,SK2844,537,537,0,537,0,0,0,13,24,5,0,47,31,0.0
56,SK0808,439,439,0,360,1,0,0,11,19,32,1,14,19,0.0
57,SK3399,269,269,0,267,1,0,0,12,5,1,0,20,21,0.0
58,SK2330,1113,1113,0,1040,0,0,44,23,74,312,80,84,142,1.0
59,SK2117,683,683,0,683,0,0,5,33,0,47,0,229,106,1.0
60,SK1935,984,984,0,984,0,0,47,5,0,381,64,20,35,0.0
61,SK7827,312,312,0,312,0,0,0,30,1,14,3,43,41,0.0
62,SK8075,922,922,0,862,0,0,2,24,43,304,6,132,110,1.0
63,SK2185,267,267,0,267,0,0,0,8,4,15,0,23,54,0.0
64,SK5351,832,832,0,832,33,0,0,14,83,220,0,69,180,1.0
65,SK5211,2205,2205,94,1454,8,1,4,51,23,397,187,137,411,
66,SK1661,69,69,0,69,1,0,0,4,7,0,0,8,17,0.0
67,SK8103,1078,1078,0,916,1,0,0,18,60,57,74,31,120,0.0
68,SK8777,975,975,1,762,0,0,0,36,0,113,22,151,107,1.0
69,SK0691,607,607,0,607,0,0,1,17,13,72,0,46,66,0.0
70,SK7956,153,153,0,153,0,0,3,7,1,23,21,26,47,0.0
71,SK2488,558,558,0,557,0,0,0,16,2,0,1,25,25,0.0
72,SK5105,536,536,0,534,3,0,0,23,47,51,18,54,70,0.0
73,SK3423,745,745,0,733,0,0,0,36,6,16,11,89,77,0.0
74,SK8752,110,110,0,110,0,0,0,2,0,1,0,3,15,0.0
75,SK3364,381,381,0,381,1,0,0,14,13,2,0,27,29,0.0
76,SK0902,1247,1247,0,1247,2,0,0,37,61,29,0,101,67,1.0
77,SK7476,867,867,0,867,0,0,0,25,64,94,0,51,88,0.0
78,SK1024,212,212,0,212,0,0,0,0,0,0,0,0,0,0.0
79,SK8799,779,779,0,779,0,2,9,34,0,159,0,130,49,0.0
80,SK7588,1827,1827,9,1646,19,0,6,78,141,358,67,309,385,
81,SK8389,1045,1045,0,940,3,0,6,11,37,115,171,39,163,0.0
82,SK2476,203,203,0,203,0,0,0,4,18,6,0,17,24,0.0
83,SK8220,495,495,0,495,0,0,0,7,9,13,0,27,33,0.0
84,SK2070,1557,1557,0,1481,0,0,55,6,0,466,35,19,60,1.0
85,SK5268,395,395,0,395,0,0,0,10,0,18,0,48,49,0.0
86,SK7887,831,831,0,705,3,3,0,6,0,88,179,15,139,1.0
87,SK8726,1686,1686,5,1538,4,0,6,5,31,332,211,52,473,1.0
88,SK5030,193,193,0,193,0,0,1,6,0,32,0,38,40,0.0
89,SK1675,742,742,0,741,0,0,0,21,32,29,8,59,30,0.0
90,SK7280,657,657,0,657,6,0,0,1,87,69,77,4,74,0.0
91,SK6824,698,698,0,698,0,0,0,3,0,8,0,33,32,0.0
92,SK6677,1458,1458,0,1215,0,0,12,27,47,386,108,119,328,1.0
93,SK6992,915,915,0,826,1,0,124,8,14,342,149,41,140,0.0
94,SK0104,970,970,0,970,0,0,0,10,0,82,0,59,31,0.0
95,SK7702,5,5,0,5,0,0,0,0,0,0,1,0,0,0.0
96,SK8822,35,35,0,35,0,0,0,3,0,11,0,4,5,0.0
97,SK0543,2129,2129,15,1862,15,0,17,31,67,305,206,108,320,
98,SK4674,341,341,0,315,1,0,0,10,35,3,11,27,46,0.0
99,SK3932,586,586,0,586,0,0,0,1,9,36,26,3,40,0.0
100,SK8791,66,66,0,66,0,0,0,2,0,34,0,1,14,0.0
101,SK0817,2171,2171,0,2171,99,0,29,102,49,223,6,251,723,
102,SK5472,1507,1507,0,1437,0,0,2,35,134,421,54,112,237,1.0
103,SK8793,569,569,0,569,0,0,0,8,0,135,0,46,33,0.0
104,SK8639,877,877,0,877,42,2,3,13,35,92,0,33,273,0.0
105,SK3369,142,142,0,142,0,18,1,0,0,17,3,5,8,0.0
106,SK2196,654,654,0,553,1,20,5,22,23,206,42,68,90,0.0
107,SK7703,774,774,0,774,0,36,1,22,0,168,3,92,50,0.0
108,SK5527,52,52,0,52,1,0,0,2,8,16,12,5,14,0.0
109,SK8433,681,681,1,509,1,0,0,1,8,80,44,5,102,1.0
110,SK2100,998,998,0,594,0,0,51,1,6,320,136,0,87,0.0
111,SK8672,1999,1999,22,1417,0,0,18,49,0,488,133,146,348,
112,SK7689,1743,1743,30,1514,72,0,17,63,123,275,260,136,616,
113,SK3862,1064,1064,0,1064,0,0,0,6,30,42,36,17,19,1.0
114,SK4668,87,87,0,87,0,0,0,1,0,0,0,2,4,0.0
115,SK8302,77,77,0,77,0,0,0,5,13,13,0,7,16,0.0
116,SK1197,1331,1331,0,1331,5,0,1,48,65,37,0,198,89,0.0
117,SK0807,49,49,0,49,0,0,2,0,0,30,0,1,14,0.0
118,SK3933,1272,1272,10,1019,2,1,5,33,0,265,129,64,269,1.0
119,SK1788,1856,1856,0,1856,0,0,0,0,0,3,0,0,1,1.0
120,SK8742,140,140,0,140,0,0,2,1,0,27,0,0,21,0.0
121,SK8825,23,23,0,23,0,0,0,0,0,4,0,0,20,0.0
122,SK8368,4,4,0,4,0,0,0,0,0,2,0,0,4,0.0
123,SK6541,2222,2222,0,2222,60,0,2,123,156,342,100,288,995,
124,SK6716,1473,1473,6,1301,12,0,2,70,75,138,78,222,312,
125,SK8032,516,516,0,506,3,0,1,0,26,34,57,0,135,0.0
126,SK2933,623,623,0,623,0,9,3,19,39,215,38,74,142,0.0
127,SK8792,787,787,0,786,1,0,2,40,50,107,68,109,241,0.0
128,SK6290,4,4,0,4,0,0,0,0,0,0,0,0,2,0.0
129,SK7770,1325,1325,34,1034,29,2,4,39,60,189,138,104,206,1.0
130,SK0791,3041,3041,12,2437,4,11,204,38,75,923,472,177,657,
131,SK6248,1072,1072,0,1072,0,0,0,35,17,79,0,171,51,1.0
132,SK6647,40,40,0,40,0,6,0,3,0,2,0,9,12,0.0
133,SK8802,239,239,0,239,0,0,0,0,0,23,0,0,24,0.0
134,SK7608,860,860,0,860,20,0,0,32,29,40,0,95,51,1.0
135,SK3106,79,79,0,79,0,0,0,2,0,28,0,8,18,0.0
136,SK8631,403,403,0,338,0,0,26,0,2,224,71,3,56,0.0
137,SK7149,19,19,0,19,0,0,0,0,0,4,0,1,17,0.0
138,SK7952,2,2,0,2,0,0,0,0,0,0,0,0,2,0.0
139,SK8510,193,193,0,193,0,0,1,22,20,46,0,39,33,0.0
140,SK0162,1435,1435,8,1188,3,0,0,5,13,154,131,38,118,1.0
141,SK8000,1188,1188,0,1188,2,1,17,24,0,505,0,270,446,
142,SK5655,47,47,0,47,0,14,0,1,0,4,0,5,7,0.0
143,SK7679,89,89,0,89,0,0,0,2,1,12,0,10,16,0.0
144,SK8218,1643,1643,1,1116,0,0,3,2,62,287,206,30,224,1.0
145,SK4659,675,675,0,675,0,0,0,12,0,255,0,74,35,0.0
146,SK8436,266,266,0,266,0,0,0,0,0,70,41,6,46,0.0
147,SK8840,543,543,90,291,13,0,0,1,18,33,2,5,55,0.0
148,SK1739,1490,1490,0,1490,7,0,0,5,56,377,0,34,87,1.0
149,SK3160,891,891,0,891,0,0,0,20,28,89,0,99,64,0.0
150,SK8170,1545,1545,1,1465,12,0,0,33,118,128,174,120,257,1.0
151,SK8398,163,163,0,163,0,0,0,4,0,27,0,14,38,0.0
152,SK8445,128,128,0,128,0,0,0,1,2,26,4,12,22,0.0
153,SK8361,234,234,0,181,0,0,0,0,6,102,0,25,14,0.0
154,SK8295,358,358,0,358,2,0,0,10,18,16,25,28,114,0.0
155,SK8605,436,436,0,436,8,0,0,3,25,90,0,5,80,0.0
156,SK8674,1262,1262,0,1262,2,0,1,11,74,142,0,85,202,1.0
157,SK8474,913,913,0,913,15,0,5,31,0,397,0,138,218,0.0
158,SK8502,1814,1814,0,1814,9,0,15,98,0,271,0,328,540,
159,SK8795,105,105,0,105,3,0,0,1,7,12,8,0,16,0.0
160,SK8827,714,714,0,705,9,3,10,13,0,177,158,24,166,0.0
161,SK8815,302,302,0,296,1,5,2,11,0,89,8,46,46,0.0
162,SK6902,48,48,0,48,0,0,1,1,0,15,0,0,7,0.0
163,SK7209,910,910,0,910,0,0,0,49,69,79,0,109,242,1.0
164,SK2080,66,66,0,66,0,0,0,5,0,1,0,3,28,0.0
165,SK4472,527,527,100,198,3,1,0,5,0,52,16,20,49,0.0
166,SK8706,1586,1586,0,1586,0,0,0,53,0,413,0,262,293,1.0
167,SK4282,514,514,0,514,2,0,0,5,20,38,31,79,87,0.0
168,SK2779,1130,1130,0,1057,1,0,0,41,51,4,11,157,188,1.0
169,SK7614,546,546,0,535,0,0,5,16,30,81,1,64,24,0.0
170,SK8757,282,282,1,221,0,7,0,7,0,86,48,20,104,0.0
171,SK8741,20,20,0,20,0,0,0,0,0,8,0,2,4,0.0
172,SK8063,335,335,0,335,3,0,0,1,18,42,15,12,48,0.0
173,SK2083,35,35,0,32,0,0,0,0,2,7,0,3,4,0.0
174,SK6844,14,14,0,14,0,0,0,1,0,2,0,2,5,0.0
175,SK6969,882,882,0,882,4,0,3,41,0,121,41,128,145,1.0
176,SK1146,6,6,0,6,0,0,0,0,0,1,0,0,5,0.0
177,SK4369,705,705,0,697,1,5,103,6,5,254,125,23,106,0.0
178,SK6260,294,294,0,294,0,0,0,5,9,11,0,36,62,0.0
179,SK7897,405,405,0,405,2,0,1,11,57,42,21,35,84,0.0
180,SK8701,1409,1409,0,1367,0,0,0,63,30,132,0,222,100,1.0
181,SK5956,996,996,0,955,1,0,0,71,269,365,372,48,375,
